Municipality,State,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020
Aguada,PR,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2
Aguadilla,PR,0,0,0,0,0,0,0,1,2,2,2,2,2,3,3,3
Aguas Buenas,PR,0,0,0,1,1,3,3,3,3,3,3,8,8,8,8,8
Aibonito,PR,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,3
Añasco,PR,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5
Arecibo,PR,0,0,0,2,3,5,5,5,6,6,6,6,7,7,9,12
Barceloneta,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Barranquitas,PR,1,1,1,1,1,1,1,1,1,1,2,2,3,4,4,4
Bayamón,PR,3,4,4,4,11,14,14,17,22,22,22,25,26,29,30,42
Cabo Rojo,PR,0,0,1,1,3,3,3,4,4,4,4,4,7,7,7,8
Caguas,PR,6,7,10,12,10,16,16,16,18,18,18,18,20,20,20,23
Camuy,PR,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Canóvanas,PR,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4
Carolina,PR,2,4,4,5,4,9,10,12,19,20,20,21,22,27,27,39
Cataño,PR,0,0,1,1,1,1,1,2,4,4,4,4,4,4,4,5
Cayey,PR,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3
Ceiba,PR,0,0,1,2,1,3,3,3,3,3,3,3,3,3,3,3
Cidra,PR,0,0,0,0,0,0,0,0,0,0,4,4,4,5,5,5
Corozal,PR,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2
Dorado,PR,0,1,1,2,3,3,3,3,4,5,6,7,7,7,8,12
Guánica,PR,0,0,0,0,0,1,1,1,1,1,2,2,2,4,4,4
Guayama,PR,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Guaynabo,PR,2,4,4,10,14,16,17,20,22,22,23,26,29,30,32,42
Gurabo,PR,0,1,2,3,1,3,3,3,3,3,3,3,3,4,5,5
Hatillo,PR,0,0,0,0,0,0,1,1,1,1,3,3,3,5,5,5
Hormigueros,PR,1,1,1,1,1,2,2,2,3,3,4,4,4,5,6,6
Humacao,PR,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Isabela,PR,0,0,0,0,1,2,2,4,5,5,5,5,5,5,6,6
Juana Díaz,PR,0,0,0,0,1,2,2,2,2,2,12,12,12,13,13,14
Juncos,PR,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Lajas,PR,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Lares,PR,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2
Las Piedras,PR,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,4
Loíza,PR,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2
Luquillo,PR,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4
Manatí,PR,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,4
Maunabo,PR,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2
Mayagüez,PR,1,1,2,3,3,6,6,6,10,11,12,12,14,15,16,17
Moca,PR,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Morovis,PR,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
Naguabo,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Naranjito,PR,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3
Orocovis,PR,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
Patillas,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Ponce,PR,0,0,0,0,0,0,1,2,4,4,5,5,7,8,9,9
Quebradillas,PR,0,0,0,0,0,0,0,0,0,0,2,2,2,9,10,16
Rincón,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Rio Grande,PR,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,5
Sabana Grande,PR,0,0,1,1,0,2,2,2,1,2,2,3,3,3,4,5
Salinas,PR,0,0,0,0,0,0,1,8,1,1,1,1,1,1,1,1
San Germán,PR,0,0,0,0,0,0,0,0,1,2,4,4,4,4,6,7
San Juan,PR,3,6,8,18,23,34,38,38,43,49,50,50,54,60,63,120
San Lorenzo,PR,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
San Sebastián,PR,0,0,0,1,1,2,3,3,3,3,4,5,5,7,6,7
Santa Isabel,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Toa Alta,PR,0,1,1,1,3,5,5,6,7,7,7,8,8,8,9,13
Toa Baja,PR,1,1,1,1,1,4,6,8,9,9,9,9,10,12,12,15
Trujillo Alto,PR,0,0,0,2,4,4,5,5,5,5,5,6,7,12,13,25
Vega Alta,PR,0,0,0,0,1,1,1,3,6,6,6,6,6,7,7,8
Vega Baja,PR,0,1,1,1,2,2,2,2,3,3,3,3,3,3,3,5
Villalba,PR,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
Yabucoa,PR,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2
Yauco,PR,0,0,0,0,3,4,4,5,5,5,6,6,7,7,8,8
New York,PR,2,2,2,3,3,3,4,4,4,4,4,4,4,5,5,5
No disponible,PR,52,59,73,89,130,120,136,167,224,250,277,301,332,324,361,322
