date,cases,deaths,negatives,pending
3/12/2020,3,0,0,0
3/13/2020,4,0,0,0
3/14/2020,5,0,0,0
3/15/2020,5,0,0,0
3/16/2020,5,0,0,0
3/17/2020,5,0,0,0
3/18/2020,6,0,0,0
3/19/2020,14,0,0,0
3/20/2020,21,1,0,0
3/21/2020,23,1,0,0
3/22/2020,31,2,0,0
3/23/2020,39,2,0,0
3/24/2020,51,2,317,214
3/25/2020,64,2,377,335
3/26/2020,79,3,519,334
3/27/2020,100,3,739,792
3/28/2020,127,5,841,817
3/29/2020,174,6,931,794
3/30/2020,239,8,1195,854
3/31/2020,286,11,1409,897
4/1/2020,316,12,1604,1119
4/2/2020,378,15,2049,1055
4/3/2020,452,18,2605,1129
4/4/2020,475,20,3073,1039
4/5/2020,513,21,3432,1000
4/6/2020,573,23,3966,968
4/7/2020,620,24,4266,1160
